Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,14.380000,14.380000,13.060000,13.370000,13.370000,1096800
2021-01-05,13.400000,13.490000,12.910000,13.310000,13.310000,1054300
2021-01-06,13.120000,13.560000,13.100000,13.370000,13.370000,434300
2021-01-07,13.400000,13.830000,12.940000,12.980000,12.980000,858600
2021-01-08,13.320000,13.640000,12.930000,13.090000,13.090000,671200
2021-01-11,13.080000,13.285000,12.620000,12.770000,12.770000,685600
2021-01-12,13.360000,13.520000,12.520000,13.400000,13.400000,1217500
2021-01-13,13.690000,15.410000,13.280000,15.180000,15.180000,1635100
2021-01-14,15.020000,16.379999,15.020000,15.930000,15.930000,1133200
2021-01-15,17.650000,18.290001,16.510000,17.809999,17.809999,3468500
2021-01-19,17.730000,18.590000,17.360001,18.370001,18.370001,1934300
2021-01-20,18.670000,19.200001,17.250000,18.650000,18.650000,1395200
2021-01-21,18.760000,19.090000,17.900000,18.280001,18.280001,1265300
2021-01-22,18.150000,18.863001,16.820000,17.250000,17.250000,1265300
2021-01-25,17.500000,18.070000,15.610000,16.590000,16.590000,1800800
2021-01-26,16.680000,17.379999,16.020000,16.360001,16.360001,1106300
2021-01-27,16.000000,17.340000,14.770000,15.950000,15.950000,2471700
2021-01-28,15.800000,16.020000,14.800000,15.750000,15.750000,1255000
2021-01-29,15.540000,15.750000,14.330000,14.820000,14.820000,1743800
2021-02-01,15.050000,15.200000,14.106000,14.900000,14.900000,4409600
2021-02-02,15.800000,16.080000,14.680000,15.850000,15.850000,3777600
2021-02-03,16.100000,16.260000,15.300000,16.080000,16.080000,3307200
2021-02-04,16.110001,18.700001,16.010000,17.809999,17.809999,4086700
2021-02-05,18.260000,20.190001,18.240000,19.709999,19.709999,5583400
2021-02-08,20.480000,22.000000,20.190001,21.840000,21.840000,3256200
2021-02-09,21.420000,23.219999,21.000000,22.860001,22.860001,3650700
2021-02-10,23.004000,24.280001,22.782000,23.430000,23.430000,2854200
2021-02-11,23.830000,24.410000,21.750000,22.760000,22.760000,3213700
2021-02-12,22.070000,22.950001,21.049999,21.830000,21.830000,1479900
2021-02-16,22.139999,22.549999,21.110001,22.360001,22.360001,1982600
